NamaProduk,NamaWilayah,Tanggal,Jumlah,TotalPenjualan,Negara
Chair,Alor Setar,1/1/2023,15,1428555,Malaysia
Chair,Alor Setar,1/1/2023,15,1428555,Malaysia
Chair,Alor Setar,1/1/2023,15,1428555,Malaysia
Dishwasher,George Town,2/19/2023,19,731196,Malaysia
Dishwasher,George Town,2/19/2023,19,731196,Malaysia
Dishwasher,George Town,2/19/2023,19,731196,Malaysia
Dishwasher,George Town,2/19/2023,19,731196,Malaysia
Refrigerator,Central Region,5/30/2023,10,687810,Singapura
Refrigerator,Central Region,5/30/2023,10,687810,Singapura
Refrigerator,Central Region,5/30/2023,10,687810,Singapura
Refrigerator,Central Region,5/30/2023,10,687810,Singapura
Refrigerator,Central Region,5/30/2023,10,687810,Singapura
Refrigerator,Central Region,5/30/2023,10,687810,Singapura
Carpet,Melaka,2/2/2024,12,1040676,Malaysia
Refrigerator,Kuantan,9/9/2024,15,1169820,Malaysia
Refrigerator,Kuantan,9/9/2024,15,1169820,Malaysia
Refrigerator,Kuantan,9/9/2024,15,1169820,Malaysia
Curtains,Kuching,2/8/2023,5,474015,Malaysia
Curtains,Kuching,2/8/2023,5,474015,Malaysia
Curtains,Kuching,2/8/2023,5,474015,Malaysia
Curtains,Kuching,2/8/2023,5,474015,Malaysia
Grill,West Region,9/18/2023,7,179354,Singapura
Grill,West Region,9/18/2023,7,179354,Singapura
Grill,West Region,9/18/2023,7,179354,Singapura
Grill,West Region,9/18/2023,7,179354,Singapura
Grill,West Region,9/18/2023,7,179354,Singapura
Grill,West Region,9/18/2023,7,179354,Singapura
Grill,West Region,9/18/2023,7,179354,Singapura
Grill,West Region,9/18/2023,7,179354,Singapura
Stove,Alor Setar,10/5/2024,20,386120,Malaysia
Stove,Alor Setar,10/5/2024,20,386120,Malaysia
Stove,Alor Setar,10/5/2024,20,386120,Malaysia
Coffee Maker,Medan,7/7/2024,8,520072,Indonesia
Coffee Maker,Medan,7/7/2024,8,520072,Indonesia
Coffee Maker,Medan,7/7/2024,8,520072,Indonesia
Coffee Maker,Medan,7/7/2024,8,520072,Indonesia
Coffee Maker,Medan,7/7/2024,8,520072,Indonesia
Fan,Medan,9/2/2023,7,386995,Indonesia
Fan,Medan,9/2/2023,7,386995,Indonesia
Fan,Medan,9/2/2023,7,386995,Indonesia
Fan,Medan,9/2/2023,7,386995,Indonesia
Fan,Medan,9/2/2023,7,386995,Indonesia
Table,West Region,7/10/2023,20,307880,Singapura
Table,West Region,7/10/2023,20,307880,Singapura
Table,West Region,7/10/2023,20,307880,Singapura
Table,West Region,7/10/2023,20,307880,Singapura
Table,West Region,7/10/2023,20,307880,Singapura
Table,West Region,7/10/2023,20,307880,Singapura
Table,West Region,7/10/2023,20,307880,Singapura
Table,West Region,7/10/2023,20,307880,Singapura
Refrigerator,Kota Kinabalu,8/4/2024,9,47232,Malaysia
Refrigerator,Kota Kinabalu,8/4/2024,9,47232,Malaysia
Refrigerator,Kota Kinabalu,8/4/2024,9,47232,Malaysia
Air Purifier,West Region,3/24/2024,17,613666,Singapura
Air Purifier,West Region,3/24/2024,17,613666,Singapura
Air Purifier,West Region,3/24/2024,17,613666,Singapura
Air Purifier,West Region,3/24/2024,17,613666,Singapura
Air Purifier,West Region,3/24/2024,17,613666,Singapura
Air Purifier,West Region,3/24/2024,17,613666,Singapura
Air Purifier,West Region,3/24/2024,17,613666,Singapura
Air Purifier,West Region,3/24/2024,17,613666,Singapura
Coffee Maker,North-East Region,5/13/2023,11,490842,Singapura
Coffee Maker,North-East Region,5/13/2023,11,490842,Singapura
Coffee Maker,North-East Region,5/13/2023,11,490842,Singapura
Coffee Maker,North-East Region,5/13/2023,11,490842,Singapura
Coffee Maker,North-East Region,5/13/2023,11,490842,Singapura
Coffee Maker,North-East Region,5/13/2023,11,490842,Singapura
Coffee Maker,North-East Region,5/13/2023,11,490842,Singapura
Coffee Maker,North-East Region,5/13/2023,11,490842,Singapura
Coffee Maker,North-East Region,5/13/2023,11,490842,Singapura
Coffee Maker,North-East Region,5/13/2023,11,490842,Singapura
Washing Machine,Medan,1/31/2023,8,189328,Indonesia
Washing Machine,Medan,1/31/2023,8,189328,Indonesia
Washing Machine,Medan,1/31/2023,8,189328,Indonesia
Washing Machine,Medan,1/31/2023,8,189328,Indonesia
Washing Machine,Medan,1/31/2023,8,189328,Indonesia
Grill,West Region,10/6/2024,13,1283412,Singapura
Grill,West Region,10/6/2024,13,1283412,Singapura
Grill,West Region,10/6/2024,13,1283412,Singapura
Grill,West Region,10/6/2024,13,1283412,Singapura
Grill,West Region,10/6/2024,13,1283412,Singapura
Grill,West Region,10/6/2024,13,1283412,Singapura
Grill,West Region,10/6/2024,13,1283412,Singapura
Grill,West Region,10/6/2024,13,1283412,Singapura
Heater,Central Region,11/19/2023,8,590960,Singapura
Heater,Central Region,11/19/2023,8,590960,Singapura
Heater,Central Region,11/19/2023,8,590960,Singapura
Heater,Central Region,11/19/2023,8,590960,Singapura
Heater,Central Region,11/19/2023,8,590960,Singapura
Heater,Central Region,11/19/2023,8,590960,Singapura
Electric Kettle,Jakarta,12/16/2023,9,471987,Indonesia
Electric Kettle,Jakarta,12/16/2023,9,471987,Indonesia
Electric Kettle,Jakarta,12/16/2023,9,471987,Indonesia
Electric Kettle,Jakarta,12/16/2023,9,471987,Indonesia
Electric Kettle,Jakarta,12/16/2023,9,471987,Indonesia
Coffee Maker,Balikpapan,5/15/2023,19,1286357,Indonesia
Coffee Maker,Balikpapan,5/15/2023,19,1286357,Indonesia
Coffee Maker,Balikpapan,5/15/2023,19,1286357,Indonesia
Coffee Maker,Balikpapan,5/15/2023,19,1286357,Indonesia
Blender,Jakarta,4/4/2024,3,127689,Indonesia
Blender,Jakarta,4/4/2024,3,127689,Indonesia
Blender,Jakarta,4/4/2024,3,127689,Indonesia
Blender,Jakarta,4/4/2024,3,127689,Indonesia
Blender,Jakarta,4/4/2024,3,127689,Indonesia
Refrigerator,Balikpapan,11/6/2023,14,1055614,Indonesia
Refrigerator,Balikpapan,11/6/2023,14,1055614,Indonesia
Refrigerator,Balikpapan,11/6/2023,14,1055614,Indonesia
Refrigerator,Balikpapan,11/6/2023,14,1055614,Indonesia
Rice Cooker,East Region,9/19/2024,12,308760,Singapura
Rice Cooker,East Region,9/19/2024,12,308760,Singapura
Rice Cooker,East Region,9/19/2024,12,308760,Singapura
Rice Cooker,East Region,9/19/2024,12,308760,Singapura
Rice Cooker,East Region,9/19/2024,12,308760,Singapura
Table,George Town,5/2/2023,18,258750,Malaysia
Table,George Town,5/2/2023,18,258750,Malaysia
Table,George Town,5/2/2023,18,258750,Malaysia
Table,George Town,5/2/2023,18,258750,Malaysia
Microwave Oven,Kuala Lumpur,1/15/2023,17,807636,Malaysia
Microwave Oven,Kuala Lumpur,1/15/2023,17,807636,Malaysia
Microwave Oven,Kuala Lumpur,1/15/2023,17,807636,Malaysia
Microwave Oven,Kuala Lumpur,1/15/2023,17,807636,Malaysia
Microwave Oven,Shah Alam,4/14/2024,7,629230,Malaysia
Microwave Oven,Shah Alam,4/14/2024,7,629230,Malaysia
Air Purifier,Denpasar,12/27/2023,11,273515,Indonesia
Air Purifier,Denpasar,12/27/2023,11,273515,Indonesia
Air Purifier,Denpasar,12/27/2023,11,273515,Indonesia
Air Purifier,Denpasar,12/27/2023,11,273515,Indonesia
Air Purifier,Denpasar,12/27/2023,11,273515,Indonesia
Air Purifier,Denpasar,12/27/2023,11,273515,Indonesia
Hair Dryer,Balikpapan,10/16/2024,12,158544,Indonesia
Hair Dryer,Balikpapan,10/16/2024,12,158544,Indonesia
Hair Dryer,Balikpapan,10/16/2024,12,158544,Indonesia
Hair Dryer,Balikpapan,10/16/2024,12,158544,Indonesia
Air Purifier,Semarang,6/8/2024,18,1731564,Indonesia
Air Purifier,Semarang,6/8/2024,18,1731564,Indonesia
Air Purifier,Semarang,6/8/2024,18,1731564,Indonesia
Air Purifier,Semarang,6/8/2024,18,1731564,Indonesia
Air Purifier,Semarang,6/8/2024,18,1731564,Indonesia
Mixer,Bandung,5/9/2023,7,434511,Indonesia
Mixer,Bandung,5/9/2023,7,434511,Indonesia
Rice Cooker,East Region,3/24/2023,12,405936,Singapura
Rice Cooker,East Region,3/24/2023,12,405936,Singapura
Rice Cooker,East Region,3/24/2023,12,405936,Singapura
Rice Cooker,East Region,3/24/2023,12,405936,Singapura
Rice Cooker,East Region,3/24/2023,12,405936,Singapura
Refrigerator,Balikpapan,12/16/2023,9,593622,Indonesia
Refrigerator,Balikpapan,12/16/2023,9,593622,Indonesia
Refrigerator,Balikpapan,12/16/2023,9,593622,Indonesia
Refrigerator,Balikpapan,12/16/2023,9,593622,Indonesia
Microwave Oven,Kuantan,4/17/2023,4,190032,Malaysia
Microwave Oven,Kuantan,4/17/2023,4,190032,Malaysia
Microwave Oven,Kuantan,4/17/2023,4,190032,Malaysia
Sofa,Medan,3/4/2024,2,32982,Indonesia
Sofa,Medan,3/4/2024,2,32982,Indonesia
Sofa,Medan,3/4/2024,2,32982,Indonesia
Sofa,Medan,3/4/2024,2,32982,Indonesia
Sofa,Medan,3/4/2024,2,32982,Indonesia
Vacuum Cleaner,George Town,2/29/2024,8,443384,Malaysia
Vacuum Cleaner,George Town,2/29/2024,8,443384,Malaysia
Vacuum Cleaner,George Town,2/29/2024,8,443384,Malaysia
Vacuum Cleaner,George Town,2/29/2024,8,443384,Malaysia
Hair Dryer,Kuala Lumpur,8/20/2023,16,211392,Malaysia
Hair Dryer,Kuala Lumpur,8/20/2023,16,211392,Malaysia
Hair Dryer,Kuala Lumpur,8/20/2023,16,211392,Malaysia
Hair Dryer,Kuala Lumpur,8/20/2023,16,211392,Malaysia
Vacuum Cleaner,Kuantan,12/9/2023,18,1561194,Malaysia
Vacuum Cleaner,Kuantan,12/9/2023,18,1561194,Malaysia
Vacuum Cleaner,Kuantan,12/9/2023,18,1561194,Malaysia
Dishwasher,Central Region,10/9/2023,5,211820,Singapura
Dishwasher,Central Region,10/9/2023,5,211820,Singapura
Dishwasher,Central Region,10/9/2023,5,211820,Singapura
Dishwasher,Central Region,10/9/2023,5,211820,Singapura
Dishwasher,Central Region,10/9/2023,5,211820,Singapura
Dishwasher,Central Region,10/9/2023,5,211820,Singapura
Grill,Semarang,1/16/2023,20,1389600,Indonesia
Grill,Semarang,1/16/2023,20,1389600,Indonesia
Grill,Semarang,1/16/2023,20,1389600,Indonesia
Grill,Semarang,1/16/2023,20,1389600,Indonesia
Grill,Semarang,1/16/2023,20,1389600,Indonesia
Grill,Kuching,2/17/2024,6,508536,Malaysia
Grill,Kuching,2/17/2024,6,508536,Malaysia
Grill,Kuching,2/17/2024,6,508536,Malaysia
Grill,Kuching,2/17/2024,6,508536,Malaysia
Washing Machine,Semarang,2/26/2024,20,312180,Indonesia
Washing Machine,Semarang,2/26/2024,20,312180,Indonesia
Washing Machine,Semarang,2/26/2024,20,312180,Indonesia
Washing Machine,Semarang,2/26/2024,20,312180,Indonesia
Washing Machine,Semarang,2/26/2024,20,312180,Indonesia
Stove,Denpasar,7/21/2023,1,37188,Indonesia
Stove,Denpasar,7/21/2023,1,37188,Indonesia
Stove,Denpasar,7/21/2023,1,37188,Indonesia
Stove,Denpasar,7/21/2023,1,37188,Indonesia
Stove,Denpasar,7/21/2023,1,37188,Indonesia
Stove,Denpasar,7/21/2023,1,37188,Indonesia
Stove,Bandung,10/8/2024,10,404410,Indonesia
Stove,Bandung,10/8/2024,10,404410,Indonesia
Iron,Kuala Lumpur,2/3/2024,11,1023880,Malaysia
Iron,Kuala Lumpur,2/3/2024,11,1023880,Malaysia
Iron,Kuala Lumpur,2/3/2024,11,1023880,Malaysia
Iron,Kuala Lumpur,2/3/2024,11,1023880,Malaysia
Refrigerator,Denpasar,4/1/2024,12,1120488,Indonesia
Refrigerator,Denpasar,4/1/2024,12,1120488,Indonesia
Refrigerator,Denpasar,4/1/2024,12,1120488,Indonesia
Refrigerator,Denpasar,4/1/2024,12,1120488,Indonesia
Refrigerator,Denpasar,4/1/2024,12,1120488,Indonesia
Refrigerator,Denpasar,4/1/2024,12,1120488,Indonesia
Blender,Central Region,1/26/2024,16,103968,Singapura
Blender,Central Region,1/26/2024,16,103968,Singapura
Blender,Central Region,1/26/2024,16,103968,Singapura
Blender,Central Region,1/26/2024,16,103968,Singapura
Blender,Central Region,1/26/2024,16,103968,Singapura
Blender,Central Region,1/26/2024,16,103968,Singapura
Microwave Oven,Kota Kinabalu,6/25/2023,2,115038,Malaysia
Microwave Oven,Kota Kinabalu,6/25/2023,2,115038,Malaysia
Microwave Oven,Kota Kinabalu,6/25/2023,2,115038,Malaysia
Coffee Maker,Kota Kinabalu,7/4/2023,1,83300,Malaysia
